Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, RESET",SKQG-1155865,2,SW_Push,C2762971
C1,0805,1,10uF,C1713
"C2, C3",0805,2,0.1uF,C38141
"C7, C8",0805,2,22pF,C24658
"D1, D2, D3, D4, D5, D6",D_SOT-23_ANK,6,D_Small,C408391
"D7, D8",D_SOD-123,2,D_Zener_Small,C173412
F1,1206,1,Polyfuse_Small,C151133
J1,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06,
"MX1, MX10, MX11, MX12, MX2, MX3, MX4, MX5, MX6, MX7, MX8, MX9",MXOnly-1U,12,MX-LED,
Q1,SOT-23,1,AO3401A,C15127
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R3, R4",0805,12,1k,C17513
R19,0805,1,100R,C17408
"R2, R20",0805,2,10k,C17414
"R5, R6",0805,2,5.1k,C27834
"R7, R8",0805,2,68R,C17802
R9,0805,1,1.5K,C4310
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U2,SOT-23-6,1,SRV05-4,C558418
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C13738
